time_step,vehicle_id,role,speed_mps,acceleration,x,y,space_headway,ref_vels
10,veh4,Follower4,0.0,0.0,24.0204,-1.6,4.0,2.0
10,veh5,Follower5,0.0,0.0,12.0204,-1.6,4.0,2.0
10,veh6,Follower6,0.0,0.0,0.0204,-1.6,4.0,2.0
11,veh0,Leader,0.8142,0.475,72.6754,-1.6,0.0,
11,veh1,Follower1,0.0752,0.7522,60.0279,-1.6,4.6475,2.0752
11,veh2,Follower2,0.0,0.0,48.0204,-1.6,4.0075,2.0
11,veh3,Follower3,0.0,0.0,36.0204,-1.6,4.0,2.0
11,veh4,Follower4,0.0,0.0,24.0204,-1.6,4.0,2.0
11,veh5,Follower5,0.0,0.0,12.0204,-1.6,4.0,2.0
11,veh6,Follower6,0.0,0.0,0.0204,-1.6,4.0,2.0
12,veh0,Leader,0.8584,0.4419,72.7612,-1.6,0.0,
12,veh1,Follower1,0.1601,0.8488,60.0439,-1.6,4.7173,2.1601
12,veh2,Follower2,0.0,0.0,48.0204,-1.6,4.0235,2.0
12,veh3,Follower3,0.0,0.0,36.0204,-1.6,4.0,2.0
12,veh4,Follower4,0.0,0.0,24.0204,-1.6,4.0,2.0
12,veh5,Follower5,0.0,0.0,12.0204,-1.6,4.0,2.0
12,veh6,Follower6,0.0,0.0,0.0204,-1.6,4.0,2.0
13,veh0,Leader,0.9056,0.4727,72.8518,-1.6,0.0,
13,veh1,Follower1,0.2487,0.8861,60.0688,-1.6,4.783,2.2487
13,veh2,Follower2,0.0,0.0,48.0204,-1.6,4.0484,2.0
13,veh3,Follower3,0.0,0.0,36.0204,-1.6,4.0,2.0
13,veh4,Follower4,0.0,0.0,24.0204,-1.6,4.0,2.0
13,veh5,Follower5,0.0,0.0,12.0204,-1.6,4.0,2.0
13,veh6,Follower6,0.0,0.0,0.0204,-1.6,4.0,2.0
14,veh0,Leader,0.9695,0.6384,72.9488,-1.6,0.0,
14,veh1,Follower1,0.3417,0.9302,60.103,-1.6,4.8458,2.3417
14,veh2,Follower2,0.0,0.0,48.0204,-1.6,4.0826,2.0
14,veh3,Follower3,0.0,0.0,36.0204,-1.6,4.0,2.0
14,veh4,Follower4,0.0,0.0,24.0204,-1.6,4.0,2.0
14,veh5,Follower5,0.0,0.0,12.0204,-1.6,4.0,2.0
14,veh6,Follower6,0.0,0.0,0.0204,-1.6,4.0,2.0
15,veh0,Leader,1.0309,0.6145,73.0518,-1.6,0.0,
15,veh1,Follower1,0.447,1.0524,60.1477,-1.6,4.9042,2.447
15,veh2,Follower2,0.0,0.0,48.0204,-1.6,4.1273,2.0
15,veh3,Follower3,0.0,0.0,36.0204,-1.6,4.0,2.0
15,veh4,Follower4,0.0,0.0,24.0204,-1.6,4.0,2.0
15,veh5,Follower5,0.0,0.0,12.0204,-1.6,4.0,2.0
15,veh6,Follower6,0.0,0.0,0.0204,-1.6,4.0,2.0
16,veh0,Leader,1.0944,0.6351,73.1613,-1.6,0.0,
16,veh1,Follower1,0.5556,1.086,60.2032,-1.6,4.9581,2.5556
16,veh2,Follower2,0.0,0.0,48.0204,-1.6,4.1828,2.0
16,veh3,Follower3,0.0,0.0,36.0204,-1.6,4.0,2.0
16,veh4,Follower4,0.0,0.0,24.0204,-1.6,4.0,2.0
16,veh5,Follower5,0.0,0.0,12.0204,-1.6,4.0,2.0
16,veh6,Follower6,0.0,0.0,0.0204,-1.6,4.0,2.0
17,veh0,Leader,1.1556,0.6111,73.2768,-1.6,0.0,
17,veh1,Follower1,0.6684,1.1286,60.2701,-1.6,5.0068,2.6684
17,veh2,Follower2,0.0,0.0,48.0204,-1.6,4.2497,2.0
17,veh3,Follower3,0.0,0.0,36.0204,-1.6,4.0,2.0
17,veh4,Follower4,0.0,0.0,24.0204,-1.6,4.0,2.0
17,veh5,Follower5,0.0,0.0,12.0204,-1.6,4.0,2.0
17,veh6,Follower6,0.0,0.0,0.0204,-1.6,4.0,2.0
18,veh0,Leader,1.2195,0.6396,73.3988,-1.6,0.0,
18,veh1,Follower1,0.7808,1.1238,60.3482,-1.6,5.0506,2.7808
18,veh2,Follower2,0.0,0.0,48.0204,-1.6,4.3278,2.0
18,veh3,Follower3,0.0,0.0,36.0204,-1.6,4.0,2.0
18,veh4,Follower4,0.0,0.0,24.0204,-1.6,4.0,2.0
18,veh5,Follower5,0.0,0.0,12.0204,-1.6,4.0,2.0
18,veh6,Follower6,0.0,0.0,0.0204,-1.6,4.0,2.0
19,veh0,Leader,1.2976,0.7807,73.5286,-1.6,0.0,
19,veh1,Follower1,0.8954,1.1455,60.4377,-1.6,5.0909,2.8954
19,veh2,Follower2,0.0,0.0,48.0204,-1.6,4.4173,2.0
19,veh3,Follower3,0.0,0.0,36.0204,-1.6,4.0,2.0
19,veh4,Follower4,0.0,0.0,24.0204,-1.6,4.0,2.0
19,veh5,Follower5,0.0,0.0,12.0204,-1.6,4.0,2.0
19,veh6,Follower6,0.0,0.0,0.0204,-1.6,4.0,2.0
20,veh0,Leader,1.3446,0.4703,73.663,-1.6,0.0,
20,veh1,Follower1,1.0223,1.2691,60.5399,-1.6,5.1231,3.0223
20,veh2,Follower2,0.0,0.0,48.0204,-1.6,4.5195,2.0
20,veh3,Follower3,0.0,0.0,36.0204,-1.6,4.0,2.0
20,veh4,Follower4,0.0,0.0,24.0204,-1.6,4.0,2.0
20,veh5,Follower5,0.0,0.0,12.0204,-1.6,4.0,2.0
20,veh6,Follower6,0.0,0.0,0.0204,-1.6,4.0,2.0
21,veh0,Leader,1.4224,0.7781,73.8053,-1.6,0.0,
21,veh1,Follower1,1.1171,0.9485,60.6516,-1.6,5.1536,3.1171
21,veh2,Follower2,0.0266,0.266,48.0231,-1.6,4.6286,2.0266
21,veh3,Follower3,0.0,0.0,36.0204,-1.6,4.0027,2.0
21,veh4,Follower4,0.0,0.0,24.0204,-1.6,4.0,2.0
21,veh5,Follower5,0.0,0.0,12.0204,-1.6,4.0,2.0
21,veh6,Follower6,0.0,0.0,0.0204,-1.6,4.0,2.0
22,veh0,Leader,1.4833,0.6091,73.9536,-1.6,0.0,
22,veh1,Follower1,1.2397,1.2255,60.7756,-1.6,5.178,3.2397
